 Missouri ,United States,"Mid America Kidney Stone Association, LLC",Healthcare Provider,1000,2009,10,28,Theft,Network Server,"Five desktop computers containing unencrypted electronic protected health information (e-PHI) were stolen from the covered entity (CE).Originally, the CE reported that over 500 persons were involved, but subsequent investigation showed that about 260 persons were involved.The ePHI included demographic and financial information. The CE provided breach notification to affected individuals and HHS.Following the breach, the CE improved physical security by installing motion detectors and alarm systems security monitoring.It improved technical safeguards by installing enhanced antivirus and encryption software.As a result of OCR's investigation the CE updated its computer password policy."
 Alaska ,United States,Alaska Department of Health and Social Services,Healthcare Provider,501,2009,10,30,Theft,"Other, Other Portable Electronic Device",
 DistrictOfColumbia ,United States,"Health Services for Children with Special Needs, Inc.",Health Plan,3800,2009,11,17,Loss,Laptop,"A laptop was lost by an employee while in transit on public transportation.The computer contained the protected health information of 3800 individuals.The protected health information involved in the breach included names, Medicaid ID numbers, dates of birth, and primary physicians.In response to this incident, the covered entity took steps to enforce the requirements of the Privacy & Security Rules.The covered entity has installed encryption software on all employee computers, strengthened access controls including passwords, reviewed and updated security policies and procedures, and updated it risk assessment.In addition, all employees received additional security training."
 California ,United States,"Mark D. Lurie, MD",Healthcare Provider,5166,2009,11,20,Theft,Desktop Computer,"A shared Computer that was used for backup was stolen on 9/27/09 from the reception desk area of the covered entity.The Computer contained certain electronic protected health information (ePHI) of 5,166 individuals who were patients of the CE, The ePHI involved in the breach included names, dates of birth, and clinical information, but there were no social security numbers, financial information, addresses, phone numbers, or other ePHI in any of the reports on the disks or the hard drive on the stolen Computer. Following the breach, the CE: notified all 5,166 affected indiv's and the appropriate media;added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; all passwords are strong; all computers are password protected; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of CE staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules, which has already taken place."
 California ,United States,"L. Douglas Carlson, M.D.",Healthcare Provider,5257,2009,11,20,Theft,Desktop Computer,"A shared Computer that was used for backup was stolen on 9/27/09 from the reception desk area of the covered entity. The Computer contained certain electronic protected health information (ePHI) of 5,257 individuals who were patients of the CE.The ePHI involved in the breach included names, dates of birth, and clinical information, but there were no social security numbers, financial information, addresses, phone numbers, or other ePHI in any of the reports on the disks or the hard drive on the stolen Computer. Following the breach, the covered entity notified all 5,257 affected individuals and the appropriate media; added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of CE staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules."
 California ,United States,"David I. Cohen, MD",Healthcare Provider,857,2009,11,20,Theft,Desktop Computer,"A shared Computer that was used for backup was stolen from the reception desk area, behind a locked desk area, probably while a cleaning crew had left the main door to the building open and the door to the suite was unlocked and perhaps ajar.The Computer contained certain electronic protected health information (ePHI) of 857 patients.The ePHI involved in the breach included names, dates of birth, and clinical information.Following the breach, the covered entity notified all affected individuals and the media, added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer, added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet, and added administrative safeguards by requiring annual refresher retraining staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules, which has already taken place."
 California ,United States,"Michele Del Vicario, MD",Healthcare Provider,6145,2009,11,20,Theft,Desktop Computer,"A shared Computer that was used for backup was stolen on 9/27/09 from the reception desk area of the covered entity.The Computer contained certain electronic protected health information (ePHI) of 6,145 individuals who were patients of the CE, The ePHI involved in the breach included names, dates of birth, and clinical information, but there were no social security numbers, financial information, addresses, phone numbers, or other ePHI in any of the reports on the disks or the hard drive on the stolen Computer. Following the breach, the CE: notified all6,145 affected individuals and the appropriate media;added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; all passwords are strong; all computers are password protected; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of CE staff for Privacy and Security Rules as well as requiring immediate retraining of cleaning staff in both Rules, which has already taken place."
 California ,United States,"Joseph F. Lopez, MD",Healthcare Provider,952,2009,11,20,Theft,Desktop Computer,"A shared Computer that was used for backup was stolen on 9/27/09. The Computer contained certain electronic protected health information (ePHI) of 952 patients. Following the breach, the covered entity notified all 952 affected individuals and the appropriate media; added technical safeguards of encryption for all ePHI stored on the USB flash drive or the CD used on the replacement computer; added physical safeguards by keeping new portable devices locked when not in use in a secure combination safe in doctor's private office or in a secure filing cabinet; and added administrative safeguards by requiring annual refresher retraining of staff for Privacy and Security Rules."
 California ,United States,City of Hope National Medical Center,Healthcare Provider,5900,2009,11,23,Theft,Laptop,"A laptop computer was stolen from a workforce member's car. The laptop computer contained the protected health information of approximately 5,900 individuals. Following the breach, the covered entity encrypted all protected health information stored on lap tops.Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and retraining employees."
 Pennsylvania ,United States,The Children's Hospital of Philadelphia,Healthcare Provider,943,2009,11,24,Theft,Laptop,"A laptop computer was stolen from a hospital employeeâs vehicle.The computer contained the protected health information (PHI) of 943 individuals and included names, contact information, dates of birth, social security numbers, medical record numbers, and health insurance information including diagnosis codes and billing code descriptions.The CE provided breach notification to HHS, affected individuals, and the media.In response to this incident, the CE accelerated and completed implementation of a pre-existing plan to encrypt all hospital laptops.Additionally, the CE revised its information security policies and retrained its workforce.OCR obtained assurances that the CE implemented the corrective actions listed above."
